Datum;TN;TX;UX;UN
7-11-2015;135;182;96;83
8-11-2015;70;163;100;84
9-11-2015;119;160;94;72
10-11-2015;136;159;95;87
11-11-2015;118;137;96;84
12-11-2015;113;153;95;77
13-11-2015;79;132;94;61
14-11-2015;70;125;97;67
15-11-2015;124;148;95;81
16-11-2015;108;134;97;77
17-11-2015;103;151;98;76
18-11-2015;102;140;94;67
19-11-2015;84;131;95;71
20-11-2015;42;96;94;69
21-11-2015;8;66;94;76
22-11-2015;9;63;96;64
23-11-2015;-17;73;93;68
24-11-2015;33;60;98;77
25-11-2015;42;81;98;78
26-11-2015;8;86;97;72
27-11-2015;6;67;97;88
28-11-2015;46;81;97;70
29-11-2015;74;123;94;68
30-11-2015;62;120;96;68
1-12-2015;34;120;98;82
2-12-2015;86;115;93;76
3-12-2015;83;108;84;77
4-12-2015;77;104;95;75
5-12-2015;69;91;85;69
6-12-2015;77;118;97;77
7-12-2015;87;116;98;87
8-12-2015;81;120;97;79
9-12-2015;37;91;91;77
10-12-2015;51;76;93;75
11-12-2015;54;81;95;75
12-12-2015;29;117;95;86
13-12-2015;36;120;96;70
14-12-2015;46;104;100;84
15-12-2015;42;81;98;87
16-12-2015;80;123;98;87
17-12-2015;117;144;98;78
18-12-2015;98;130;95;80
19-12-2015;99;136;95;84
20-12-2015;109;125;92;76
21-12-2015;78;119;95;79
22-12-2015;84;138;96;77
23-12-2015;60;129;92;65
24-12-2015;64;125;95;76
25-12-2015;56;133;97;81
26-12-2015;109;140;85;81
27-12-2015;98;121;94;81
28-12-2015;66;114;95;73
29-12-2015;50;98;93;76
30-12-2015;61;91;94;76
31-12-2015;53;97;92;73
1-1-2016;14;69;100;83
2-1-2016;39;49;95;86
3-1-2016;42;77;98;79
4-1-2016;12;51;98;91
5-1-2016;-3;59;98;96
6-1-2016;-15;-2;98;94
7-1-2016;-8;72;100;72
8-1-2016;17;81;90;72
9-1-2016;7;75;98;83
10-1-2016;42;85;95;77
11-1-2016;26;65;97;85
12-1-2016;42;75;95;82
13-1-2016;10;63;94;83
14-1-2016;6;52;96;87
15-1-2016;-14;33;98;85
16-1-2016;-14;50;99;72
17-1-2016;-46;22;90;63
18-1-2016;-54;1;93;64
19-1-2016;-68;4;95;80
20-1-2016;-40;47;100;82
21-1-2016;-42;8;100;92
22-1-2016;-31;41;100;74
23-1-2016;8;86;100;92
24-1-2016;48;99;100;91
25-1-2016;85;139;100;68
26-1-2016;58;108;98;73
27-1-2016;83;119;96;84
28-1-2016;39;83;84;67
29-1-2016;52;96;96;80
30-1-2016;46;95;93;69
31-1-2016;24;92;98;72
1-2-2016;87;118;98;74
2-2-2016;57;108;74;64
3-2-2016;9;66;92;71
4-2-2016;9;61;97;84
5-2-2016;43;101;98;86
6-2-2016;83;103;97;71
7-2-2016;64;106;93;68
8-2-2016;62;93;91;72
9-2-2016;19;77;91;73
10-2-2016;19;78;96;76
11-2-2016;-7;75;97;66
12-2-2016;-17;58;100;81
13-2-2016;-19;31;98;87
14-2-2016;6;26;98;89
15-2-2016;-22;55;97;70
16-2-2016;-43;62;98;62
17-2-2016;-52;34;92;70
18-2-2016;-21;26;98;78
19-2-2016;4;79;100;71
20-2-2016;48;108;97;81
21-2-2016;79;114;98;87
22-2-2016;19;112;98;73
23-2-2016;-10;74;98;73
24-2-2016;-18;66;97;74
25-2-2016;-23;56;96;72
26-2-2016;-14;35;98;78
27-2-2016;-17;60;96;55
28-2-2016;-22;66;98;68
29-2-2016;-28;65;97;61
1-3-2016;-45;76;98;75
2-3-2016;2;83;98;68
3-3-2016;0;75;98;66
4-3-2016;-10;28;98;83
5-3-2016;-34;71;99;68
6-3-2016;-15;72;98;70
7-3-2016;-8;74;100;60
8-3-2016;-11;78;98;74
9-3-2016;-4;76;89;55
10-3-2016;-22;81;97;70
11-3-2016;-29;43;100;91
12-3-2016;-39;91;97;63
13-3-2016;-26;81;91;68
14-3-2016;-19;101;94;51
15-3-2016;-22;92;100;81
16-3-2016;-10;91;93;51
17-3-2016;-31;117;95;46
18-3-2016;34;65;98;80
19-3-2016;48;73;83;72
20-3-2016;45;86;97;82
21-3-2016;56;89;96;80
22-3-2016;55;109;95;77
23-3-2016;57;99;97;68
24-3-2016;55;103;98;70
25-3-2016;5;95;100;86
26-3-2016;10;147;100;60
27-3-2016;64;125;97;61
28-3-2016;62;128;83;50
29-3-2016;39;112;95;60
30-3-2016;42;112;93;60
31-3-2016;33;116;94;62
1-4-2016;-3;137;97;43
2-4-2016;32;131;84;59
3-4-2016;113;198;97;55
4-4-2016;83;153;98;60
5-4-2016;55;132;97;74
6-4-2016;46;111;98;74
7-4-2016;43;98;92;68
8-4-2016;26;112;97;70
9-4-2016;25;150;97;47
10-4-2016;56;150;97;62
11-4-2016;70;174;75;49
12-4-2016;70;166;93;53
13-4-2016;46;151;98;60
14-4-2016;27;160;100;59
15-4-2016;85;128;97;77
16-4-2016;53;123;95;68
17-4-2016;14;109;94;58
18-4-2016;8;125;96;51
19-4-2016;44;128;89;60
20-4-2016;26;124;94;59
21-4-2016;7;154;94;36
22-4-2016;27;120;97;56
23-4-2016;26;91;89;58
24-4-2016;26;90;91;54
25-4-2016;16;92;91;64
26-4-2016;9;82;93;78
27-4-2016;17;101;94;70
28-4-2016;11;91;94;62
29-4-2016;40;109;95;55
30-4-2016;31;115;94;64
1-5-2016;13;130;97;60
2-5-2016;19;174;97;41
3-5-2016;31;129;97;56
4-5-2016;23;159;98;44
5-5-2016;59;185;76;34
6-5-2016;78;236;85;37
7-5-2016;93;261;89;32
8-5-2016;108;250;77;28
9-5-2016;131;248;73;38
10-5-2016;139;223;86;52
11-5-2016;137;259;90;38
12-5-2016;133;250;79;37
13-5-2016;86;219;83;37
14-5-2016;64;118;87;53
15-5-2016;62;126;78;50
16-5-2016;57;127;86;56
17-5-2016;76;174;89;52
18-5-2016;67;185;92;53
19-5-2016;84;189;98;63
20-5-2016;107;170;96;71
21-5-2016;96;228;95;54
22-5-2016;131;196;98;71
23-5-2016;112;136;98;80
24-5-2016;102;136;98;69
25-5-2016;102;150;98;81
26-5-2016;87;189;99;58
27-5-2016;94;208;98;56
28-5-2016;113;231;98;61
29-5-2016;125;223;97;61
30-5-2016;150;214;97;75
31-5-2016;153;236;98;50
1-6-2016;160;259;98;60
2-6-2016;135;179;97;84
3-6-2016;141;212;98;75
4-6-2016;134;274;100;51
5-6-2016;115;233;94;66
6-6-2016;108;235;97;55
7-6-2016;126;242;97;52
8-6-2016;117;183;94;67
9-6-2016;108;182;86;46
10-6-2016;106;190;92;52
11-6-2016;121;211;86;59
12-6-2016;133;222;97;58
13-6-2016;134;196;97;81
14-6-2016;125;184;96;74
15-6-2016;114;178;98;75
16-6-2016;114;211;97;53
17-6-2016;136;194;97;63
18-6-2016;117;174;95;72
19-6-2016;125;186;81;57
20-6-2016;143;170;98;76
21-6-2016;132;206;98;78
22-6-2016;139;243;98;64
23-6-2016;186;282;98;71
24-6-2016;129;224;98;68
25-6-2016;104;193;99;73
26-6-2016;103;183;98;68
27-6-2016;102;181;96;67
28-6-2016;99;210;97;59
29-6-2016;130;196;98;61
30-6-2016;137;187;97;81
1-7-2016;138;193;93;83
2-7-2016;116;180;94;58
3-7-2016;106;190;96;61
4-7-2016;99;230;96;51
5-7-2016;128;183;96;74
6-7-2016;96;185;96;60
7-7-2016;80;220;97;58
8-7-2016;127;203;97;72
9-7-2016;116;225;98;65
10-7-2016;156;259;90;61
11-7-2016;154;213;88;62
12-7-2016;131;198;98;78
13-7-2016;105;172;98;68
14-7-2016;113;178;93;62
15-7-2016;130;206;85;56
16-7-2016;150;205;96;83
17-7-2016;139;220;98;63
18-7-2016;120;243;100;48
19-7-2016;99;286;99;41
20-7-2016;158;328;91;37
21-7-2016;156;262;98;66
22-7-2016;159;249;99;66
23-7-2016;165;238;98;74
24-7-2016;153;261;100;62
25-7-2016;128;230;97;63
26-7-2016;111;237;98;49
27-7-2016;162;224;98;62
28-7-2016;140;222;99;77
29-7-2016;146;215;97;69
30-7-2016;159;220;97;60
31-7-2016;117;207;94;63
1-8-2016;120;206;93;51
2-8-2016;138;184;98;78
3-8-2016;169;224;98;75
4-8-2016;147;211;91;58
5-8-2016;132;207;98;63
6-8-2016;112;215;97;58
7-8-2016;117;224;92;74
8-8-2016;111;202;93;56
9-8-2016;114;185;95;50
10-8-2016;81;172;97;57
11-8-2016;77;166;98;83
12-8-2016;161;214;98;74
13-8-2016;144;204;98;74
14-8-2016;103;204;99;58
15-8-2016;102;208;97;59
16-8-2016;102;207;98;60
17-8-2016;105;229;99;42
18-8-2016;100;234;97;46
19-8-2016;102;248;98;48
20-8-2016;142;228;95;50
21-8-2016;144;196;97;78
22-8-2016;150;215;98;71
23-8-2016;153;267;94;46
24-8-2016;171;303;94;44
25-8-2016;159;312;96;51
26-8-2016;163;246;94;68
27-8-2016;150;257;98;53
28-8-2016;170;242;98;69
29-8-2016;104;202;97;64
30-8-2016;100;232;98;56
31-8-2016;104;246;98;50
1-9-2016;114;221;98;57
2-9-2016;114;214;97;70
3-9-2016;142;220;98;66
4-9-2016;160;210;98;70
5-9-2016;129;221;98;68
6-9-2016;116;242;100;65
7-9-2016;123;263;99;48
8-9-2016;121;263;97;53
9-9-2016;126;228;99;58
10-9-2016;126;251;91;45
11-9-2016;157;210;97;73
12-9-2016;139;291;98;42
13-9-2016;159;320;94;43
14-9-2016;158;313;92;45
15-9-2016;157;287;90;46
16-9-2016;157;215;96;63
17-9-2016;113;203;97;71
18-9-2016;127;203;96;58
19-9-2016;101;197;97;49
20-9-2016;74;194;98;44
21-9-2016;91;204;93;42
22-9-2016;76;203;96;58
23-9-2016;92;199;97;54
24-9-2016;94;231;93;46
25-9-2016;122;247;93;48
26-9-2016;85;191;98;59
27-9-2016;66;205;99;44
28-9-2016;155;218;93;58
29-9-2016;131;179;94;71
30-9-2016;106;179;94;57
1-10-2016;100;180;94;68
2-10-2016;86;151;95;81
3-10-2016;92;183;97;65
4-10-2016;92;170;97;57
5-10-2016;35;141;91;54
6-10-2016;33;129;92;64
7-10-2016;94;143;89;71
8-10-2016;42;146;97;51
9-10-2016;10;138;99;62
10-10-2016;22;127;99;51
11-10-2016;8;132;99;72
12-10-2016;75;100;90;72
13-10-2016;72;105;87;74
14-10-2016;70;127;95;66
15-10-2016;85;142;97;83
16-10-2016;78;189;90;57
17-10-2016;86;161;97;79
18-10-2016;79;131;95;82
19-10-2016;58;118;95;73
20-10-2016;37;117;97;79
21-10-2016;34;116;98;78
22-10-2016;27;107;98;69
23-10-2016;12;119;98;57
24-10-2016;30;84;94;86
25-10-2016;48;100;98;83
26-10-2016;64;122;97;73
27-10-2016;86;142;98;83
28-10-2016;78;147;95;85
29-10-2016;47;140;98;69
30-10-2016;49;140;99;76
31-10-2016;52;165;99;61
1-11-2016;53;138;98;74
2-11-2016;25;110;97;74
3-11-2016;16;112;98;79
4-11-2016;63;92;94;78
5-11-2016;34;97;99;79
6-11-2016;37;101;98;78
7-11-2016;-5;62;98;84
8-11-2016;-41;45;98;84
9-11-2016;5;42;94;91
10-11-2016;29;46;96;86
11-11-2016;-26;54;98;66
12-11-2016;-16;48;90;77
13-11-2016;-18;41;98;84
14-11-2016;-29;69;98;91
15-11-2016;68;128;99;97
16-11-2016;85;143;99;80
17-11-2016;68;111;95;76
18-11-2016;29;83;90;76
19-11-2016;32;82;90;76
20-11-2016;44;115;92;72
21-11-2016;69;137;97;76
22-11-2016;58;127;94;67
23-11-2016;32;100;98;90
24-11-2016;21;77;95;72
25-11-2016;-10;66;93;65
26-11-2016;-23;36;99;93
27-11-2016;-3;92;98;71
28-11-2016;-46;40;95;66
29-11-2016;-64;31;96;67
30-11-2016;-39;68;91;82
1-12-2016;52;93;95;82
2-12-2016;-18;86;98;77
3-12-2016;-31;76;98;81
4-12-2016;-50;21;98;85
5-12-2016;-65;28;96;69
6-12-2016;-64;43;96;80
7-12-2016;18;87;89;77
8-12-2016;60;95;96;66
9-12-2016;73;105;98;90
10-12-2016;65;95;98;88
11-12-2016;62;95;93;83
12-12-2016;18;76;98;86
13-12-2016;46;74;98;90
14-12-2016;73;89;98;91
15-12-2016;51;82;98;88
16-12-2016;6;75;97;81
17-12-2016;27;75;98;90
18-12-2016;23;86;98;83
19-12-2016;-2;74;97;80
20-12-2016;-30;11;98;92
21-12-2016;1;68;94;79
22-12-2016;39;74;96;92
23-12-2016;39;79;98;80
24-12-2016;43;95;93;74
25-12-2016;82;117;93;83
26-12-2016;61;113;91;61
27-12-2016;21;89;98;75
28-12-2016;-19;31;99;96
29-12-2016;-27;-3;98;96
30-12-2016;-56;13;98;95
31-12-2016;10;37;98;96
1-1-2017;-1;27;98;94
2-1-2017;9;60;96;72
3-1-2017;14;71;91;79
4-1-2017;22;74;89;67
5-1-2017;-52;42;97;66
6-1-2017;-61;-9;86;64
7-1-2017;-22;36;98;92
8-1-2017;26;58;98;90
9-1-2017;27;60;98;92
10-1-2017;3;68;97;90
11-1-2017;56;94;95;68
12-1-2017;0;72;98;70
13-1-2017;2;57;97;63
14-1-2017;7;49;94;62
15-1-2017;-13;43;97;81
16-1-2017;-43;2;98;91
17-1-2017;-45;-17;98;87
18-1-2017;-53;-18;98;91
19-1-2017;-44;20;95;74
20-1-2017;-55;23;93;63
21-1-2017;-47;43;96;76
22-1-2017;-67;26;98;71
23-1-2017;-15;28;96;86
24-1-2017;-5;15;98;97
25-1-2017;-33;13;98;74
26-1-2017;-43;8;86;69
27-1-2017;-44;47;83;67
28-1-2017;17;73;91;55
29-1-2017;34;61;93;84
30-1-2017;28;68;98;84
31-1-2017;27;41;90;80
1-2-2017;5;54;92;75
2-2-2017;53;123;93;74
3-2-2017;47;113;91;78
4-2-2017;32;76;97;83
5-2-2017;15;68;98;82
6-2-2017;16;55;98;83
7-2-2017;-4;29;96;86
8-2-2017;-15;-3;95;83
9-2-2017;-44;-14;86;80
10-2-2017;-44;-17;87;81
11-2-2017;-18;4;98;81
12-2-2017;-17;15;91;75
13-2-2017;-29;45;88;66
14-2-2017;-11;83;93;55
15-2-2017;-19;140;93;55
16-2-2017;38;99;97;77
17-2-2017;49;74;98;86
18-2-2017;12;97;98;73
19-2-2017;31;88;95;85
20-2-2017;69;106;96;87
21-2-2017;55;101;95;71
22-2-2017;72;105;94;85
23-2-2017;39;108;95;70
24-2-2017;-11;76;96;61
25-2-2017;-11;82;94;73
26-2-2017;66;103;94;79
27-2-2017;51;107;93;69
28-2-2017;23;68;93;74
1-3-2017;25;93;97;66
2-3-2017;26;76;95;77
3-3-2017;5;91;93;64
4-3-2017;63;139;93;68
5-3-2017;49;109;93;56
6-3-2017;27;95;95;69
7-3-2017;22;79;95;78
8-3-2017;12;94;98;86
9-3-2017;11;117;98;69
10-3-2017;-2;112;98;48
11-3-2017;-2;125;98;50
12-3-2017;16;142;90;43
13-3-2017;-3;112;95;75
14-3-2017;29;145;94;69
15-3-2017;24;120;95;52
16-3-2017;12;164;91;55
17-3-2017;66;98;93;57
18-3-2017;63;107;98;84
19-3-2017;86;126;97;75
20-3-2017;82;110;95;83
21-3-2017;23;92;94;52
22-3-2017;3;125;86;41
23-3-2017;3;130;91;57
24-3-2017;28;133;90;50
25-3-2017;0;137;91;32
26-3-2017;20;114;95;72
27-3-2017;7;178;95;29
28-3-2017;17;188;89;36
29-3-2017;85;139;94;75
30-3-2017;103;211;85;48
31-3-2017;100;223;90;47
1-4-2017;42;133;98;75
2-4-2017;33;155;98;62
3-4-2017;38;136;98;67
4-4-2017;18;162;98;48
5-4-2017;61;122;96;66
6-4-2017;35;111;90;58
7-4-2017;75;145;86;61
8-4-2017;37;147;94;54
9-4-2017;13;210;98;34
10-4-2017;63;143;82;57
11-4-2017;56;140;83;50
12-4-2017;75;113;93;70
13-4-2017;21;126;94;57
14-4-2017;21;132;94;50
15-4-2017;54;116;94;61
16-4-2017;44;112;89;65
17-4-2017;39;103;94;50
18-4-2017;-1;106;91;54
19-4-2017;-5;90;88;46
20-4-2017;-25;122;92;45
21-4-2017;70;151;93;68
22-4-2017;48;103;87;54
23-4-2017;26;106;86;58
24-4-2017;28;130;93;69
25-4-2017;18;93;92;45
26-4-2017;-4;108;98;51
27-4-2017;11;113;93;50
28-4-2017;52;116;95;61
29-4-2017;8;130;93;46
30-4-2017;22;190;83;33
1-5-2017;88;124;98;49
2-5-2017;78;150;98;58
3-5-2017;78;150;93;64
4-5-2017;72;132;84;70
5-5-2017;72;110;90;72
6-5-2017;66;187;95;49
7-5-2017;87;159;91;58
8-5-2017;44;152;89;50
9-5-2017;27;133;87;39
10-5-2017;42;141;85;50
11-5-2017;32;241;88;33
12-5-2017;123;200;94;60
13-5-2017;96;191;94;70
14-5-2017;83;214;94;45
15-5-2017;66;210;93;42
16-5-2017;164;262;84;48
17-5-2017;157;290;90;33
18-5-2017;142;214;93;56
19-5-2017;94;161;94;67
20-5-2017;78;171;96;56
21-5-2017;70;192;90;52
22-5-2017;84;249;94;30
23-5-2017;109;201;85;49
24-5-2017;93;213;92;52
25-5-2017;88;216;98;61
26-5-2017;108;272;91;38
27-5-2017;145;311;84;27
28-5-2017;156;252;87;45
29-5-2017;144;292;92;52
30-5-2017;144;209;94;65
31-5-2017;95;210;96;55
1-6-2017;77;226;97;33
2-6-2017;114;255;88;42
3-6-2017;150;239;85;58
4-6-2017;97;206;91;48
5-6-2017;91;225;86;43
6-6-2017;107;182;92;53
7-6-2017;113;167;90;58
8-6-2017;118;236;95;51
9-6-2017;114;188;96;64
10-6-2017;104;232;94;53
11-6-2017;129;279;85;48
12-6-2017;144;188;79;64
13-6-2017;112;198;96;57
14-6-2017;93;238;98;43
15-6-2017;124;271;92;48
16-6-2017;117;188;89;61
17-6-2017;133;226;97;67
18-6-2017;118;264;99;54
19-6-2017;155;290;97;49
20-6-2017;136;258;89;61
21-6-2017;120;267;84;47
22-6-2017;176;295;88;44
23-6-2017;166;223;93;60
24-6-2017;160;198;97;74
25-6-2017;156;191;97;75
26-6-2017;107;200;90;47
27-6-2017;94;221;96;50
28-6-2017;152;228;98;77
29-6-2017;144;203;98;76
30-6-2017;127;202;98;75
1-7-2017;134;198;98;72
2-7-2017;100;195;96;60
3-7-2017;99;227;94;58
4-7-2017;131;217;96;46
5-7-2017;130;244;95;55
6-7-2017;128;263;98;51
7-7-2017;164;258;96;73
8-7-2017;120;227;96;64
9-7-2017;109;231;97;49
10-7-2017;139;258;93;48
11-7-2017;152;212;96;61
12-7-2017;131;181;98;56
13-7-2017;102;200;92;49
14-7-2017;98;191;96;63
15-7-2017;145;208;88;57
16-7-2017;159;218;98;81
17-7-2017;125;223;99;51
18-7-2017;111;243;96;57
19-7-2017;150;286;90;46
20-7-2017;135;251;98;63
21-7-2017;131;226;94;43
22-7-2017;157;262;95;44
23-7-2017;137;199;98;69
24-7-2017;129;197;98;66
25-7-2017;155;195;92;73
26-7-2017;157;231;96;56
27-7-2017;141;219;95;57
28-7-2017;142;216;94;54
29-7-2017;159;228;98;65
30-7-2017;131;231;98;65
31-7-2017;119;228;97;57
1-8-2017;138;226;97;55
2-8-2017;144;220;94;53
3-8-2017;155;224;92;53
4-8-2017;141;219;93;55
5-8-2017;110;206;96;53
6-8-2017;107;210;97;53
7-8-2017;103;224;95;51
8-8-2017;139;204;97;71
9-8-2017;123;213;97;57
10-8-2017;105;208;98;69
11-8-2017;139;204;94;61
12-8-2017;117;218;98;73
13-8-2017;107;209;99;56
14-8-2017;106;241;95;51
15-8-2017;142;215;97;75
16-8-2017;105;231;100;61
17-8-2017;131;193;98;79
18-8-2017;115;205;93;67
19-8-2017;123;194;98;58
20-8-2017;113;194;96;62
21-8-2017;90;212;98;59
22-8-2017;120;230;95;55
23-8-2017;105;256;95;52
24-8-2017;120;220;96;62
25-8-2017;113;223;98;56
26-8-2017;107;238;98;53
27-8-2017;112;236;98;44
28-8-2017;110;254;99;48
29-8-2017;140;283;96;51
30-8-2017;140;218;98;84
31-8-2017;101;193;97;56
1-9-2017;86;205;98;51
2-9-2017;86;195;97;55
3-9-2017;77;203;99;54
4-9-2017;92;230;97;44
5-9-2017;156;221;95;73
6-9-2017;135;185;97;66
7-9-2017;136;189;93;60
8-9-2017;125;162;97;90
9-9-2017;98;180;98;67
10-9-2017;93;179;97;69
11-9-2017;121;173;95;67
12-9-2017;119;176;94;65
13-9-2017;111;166;93;60
14-9-2017;97;153;95;68
15-9-2017;92;160;97;61
16-9-2017;98;132;97;83
17-9-2017;73;167;98;72
18-9-2017;90;165;98;68
19-9-2017;87;174;99;62
20-9-2017;100;181;96;62
21-9-2017;95;185;96;60
22-9-2017;81;184;99;69
23-9-2017;53;180;99;51
24-9-2017;77;194;99;64
25-9-2017;102;172;98;78
26-9-2017;90;166;99;77
27-9-2017;102;198;99;68
28-9-2017;134;186;99;87
29-9-2017;132;222;99;74
30-9-2017;91;158;98;85
1-10-2017;97;181;95;67
2-10-2017;131;177;96;66
3-10-2017;119;162;88;70
4-10-2017;106;150;95;65
5-10-2017;111;158;97;68
6-10-2017;99;149;91;64
7-10-2017;102;143;97;80
8-10-2017;65;142;97;63
9-10-2017;86;141;97;87
10-10-2017;119;157;98;87
11-10-2017;133;159;94;73
12-10-2017;100;150;93;64
13-10-2017;104;179;98;80
14-10-2017;115;192;99;77
15-10-2017;95;218;99;68
16-10-2017;136;233;93;69
17-10-2017;86;165;98;77
18-10-2017;92;183;98;78
19-10-2017;107;206;99;63
20-10-2017;108;171;95;75
21-10-2017;104;172;92;63
22-10-2017;97;135;97;76
23-10-2017;94;142;98;72
24-10-2017;129;165;98;91
25-10-2017;93;165;99;79
26-10-2017;114;160;99;77
27-10-2017;106;141;86;67
28-10-2017;98;147;90;75
29-10-2017;82;146;87;58
30-10-2017;69;113;93;62
31-10-2017;72;112;95;82
1-11-2017;96;133;97;75
2-11-2017;63;145;97;78
3-11-2017;74;125;96;83
4-11-2017;83;131;96;75
5-11-2017;35;108;96;67
6-11-2017;12;106;98;69
7-11-2017;-3;95;98;78
8-11-2017;21;75;98;92
9-11-2017;61;109;98;78
10-11-2017;62;105;98;66
11-11-2017;26;93;94;77
12-11-2017;26;76;96;78
13-11-2017;26;96;94;70
14-11-2017;24;93;98;82
15-11-2017;88;101;99;97
16-11-2017;65;106;98;94
17-11-2017;15;101;98;64
18-11-2017;46;97;89;71
19-11-2017;45;93;95;74
20-11-2017;50;112;98;84
21-11-2017;104;122;98;88
22-11-2017;98;126;95;61
23-11-2017;74;135;91;62
24-11-2017;38;86;98;84
25-11-2017;-2;64;98;79
26-11-2017;22;72;94;76
27-11-2017;33;92;95;76
28-11-2017;15;68;97;76
29-11-2017;-2;40;98;94
30-11-2017;-8;47;98;88
1-12-2017;-28;36;98;89
2-12-2017;-30;2;99;97
3-12-2017;2;72;98;90
4-12-2017;48;90;96;86
5-12-2017;53;85;96;78
6-12-2017;70;96;85;75
7-12-2017;45;71;95;73
8-12-2017;0;60;98;75
9-12-2017;4;49;97;77
10-12-2017;0;13;98;86
11-12-2017;-14;19;98;84
12-12-2017;-7;39;98;74
13-12-2017;4;52;98;87
14-12-2017;3;46;98;88
15-12-2017;0;38;98;91
16-12-2017;5;54;98;79
17-12-2017;-14;49;97;87
18-12-2017;9;73;99;81
19-12-2017;13;69;99;91
20-12-2017;39;82;99;97
21-12-2017;61;83;99;98
22-12-2017;28;79;99;98
23-12-2017;74;89;98;89
24-12-2017;73;92;97;89
25-12-2017;44;91;95;82
26-12-2017;44;72;92;75
27-12-2017;30;61;93;81
28-12-2017;12;52;89;73
29-12-2017;1;66;96;85
30-12-2017;39;117;96;77
31-12-2017;81;134;98;81
1-1-2018;55;84;98;75
2-1-2018;33;89;97;81
3-1-2018;59;108;95;72
4-1-2018;67;101;97;73
5-1-2018;45;77;94;76
6-1-2018;18;65;98;83
7-1-2018;-12;24;86;75
8-1-2018;-18;29;86;68
9-1-2018;-9;45;96;79
10-1-2018;23;70;98;92
11-1-2018;46;73;98;94
12-1-2018;38;49;99;89
13-1-2018;20;59;99;77
14-1-2018;11;42;89;78
15-1-2018;16;75;95;82
16-1-2018;19;67;91;73
17-1-2018;6;56;92;69
18-1-2018;0;97;97;69
19-1-2018;14;61;98;76
20-1-2018;6;35;98;91
21-1-2018;12;62;92;73
22-1-2018;21;78;98;87
23-1-2018;46;109;97;82
24-1-2018;72;140;97;76
25-1-2018;49;89;96;86
26-1-2018;34;61;99;94
27-1-2018;43;69;98;76
28-1-2018;69;112;98;82
29-1-2018;54;108;94;77
30-1-2018;15;77;97;73
31-1-2018;10;93;98;74
1-2-2018;14;60;96;77
2-2-2018;1;67;96;77
3-2-2018;-2;58;96;77
4-2-2018;0;32;89;69
5-2-2018;-15;27;90;73
6-2-2018;-38;8;93;63
7-2-2018;-51;12;90;60
8-2-2018;-18;45;89;72
9-2-2018;-10;23;91;69
10-2-2018;2;62;98;66
11-2-2018;11;64;95;70
12-2-2018;5;57;93;60
13-2-2018;-5;60;89;59
14-2-2018;-16;50;76;53
15-2-2018;-2;80;98;59
16-2-2018;-7;74;97;66
17-2-2018;-13;69;97;57
18-2-2018;-26;70;94;69
19-2-2018;-8;36;97;74
20-2-2018;-24;47;98;73
21-2-2018;-28;40;95;67
22-2-2018;-32;39;93;67
23-2-2018;-32;27;95;63
24-2-2018;-36;27;69;55
25-2-2018;-52;5;85;44
26-2-2018;-60;3;85;48
27-2-2018;-84;3;93;54
28-2-2018;-86;-50;86;53
1-3-2018;-84;-13;64;40
2-3-2018;-79;3;65;38
3-3-2018;-62;8;78;50
4-3-2018;-29;109;93;57
5-3-2018;21;126;94;56
6-3-2018;-17;111;98;67
7-3-2018;-21;88;98;81
8-3-2018;13;79;98;72
9-3-2018;17;100;96;65
10-3-2018;61;152;98;73
11-3-2018;56;134;99;79
12-3-2018;69;152;95;64
13-3-2018;42;89;97;84
14-3-2018;3;104;99;64
15-3-2018;16;104;84;56
16-3-2018;-2;61;93;72
17-3-2018;-29;-2;73;41
18-3-2018;-37;16;56;40
19-3-2018;-48;45;83;28
20-3-2018;-9;76;98;39
21-3-2018;-30;78;99;62
22-3-2018;39;93;98;77
23-3-2018;53;77;97;67
24-3-2018;18;112;94;61
25-3-2018;7;104;99;57
26-3-2018;10;105;99;59
27-3-2018;10;99;97;47
28-3-2018;29;84;99;81
29-3-2018;34;93;95;58
30-3-2018;46;135;95;47
31-3-2018;26;118;98;60
1-4-2018;29;76;97;77
2-4-2018;20;118;97;63
3-4-2018;88;169;94;62
4-4-2018;76;142;96;72
5-4-2018;13;97;94;62
6-4-2018;9;150;93;33
7-4-2018;42;213;87;43
8-4-2018;77;215;93;50
9-4-2018;81;168;97;69
10-4-2018;104;209;89;45
11-4-2018;76;189;94;56
12-4-2018;68;140;96;74
13-4-2018;46;159;99;63
14-4-2018;69;150;94;59
15-4-2018;87;172;98;73
16-4-2018;64;168;98;55
17-4-2018;56;209;86;39
18-4-2018;82;251;89;30
19-4-2018;120;296;74;24
20-4-2018;123;263;89;40
21-4-2018;88;223;96;33
22-4-2018;88;279;86;36
23-4-2018;101;166;86;50
24-4-2018;100;157;91;64
25-4-2018;85;137;93;56
26-4-2018;69;132;89;51
27-4-2018;48;151;90;41
28-4-2018;69;164;96;60
29-4-2018;38;128;99;80
30-4-2018;60;137;97;65
1-5-2018;44;119;93;55
2-5-2018;37;171;91;40
3-5-2018;56;144;90;40
4-5-2018;45;179;90;32
5-5-2018;58;224;84;32
6-5-2018;77;272;77;23
7-5-2018;105;266;84;24
8-5-2018;112;283;75;21
9-5-2018;120;276;87;23
10-5-2018;93;162;92;63
11-5-2018;60;196;95;44
12-5-2018;94;247;89;30
13-5-2018;121;173;96;71
14-5-2018;132;276;99;30
15-5-2018;135;258;82;25
